model,split,logloss,brier,ece,n,weight_sum
baseline_pRN,test,0.49542462670217724,0.16221308919552785,0.033168397362245645,5816,0.8243504722143657
logit+platt_C=5,test,0.49846532083299555,0.16295912511355515,0.044540886689463904,5816,0.8243504722143657
logit_base_C=5,test,0.5195259204443258,0.17087004030002878,0.08322751364661958,5816,0.8243504722143657
baseline_pRN,val,0.4932723424129367,0.16129134563814898,0.07439327750193521,5965,0.8493711654062074
logit+platt_C=5,val,0.5027450941831352,0.1650814907172612,0.09228905307071614,5965,0.8493711654062074
logit_base_C=5,val,0.4999575276089234,0.16260735954448283,0.08882372940311138,5965,0.8493711654062074
