timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-01-07T00:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T01:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T02:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T03:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T04:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T05:00:00Z,1090935,0.16,0.16,0.16,0.16,,,pm_bars_history_v1.0
2026-01-07T06:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T07:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T08:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T09:00:00Z,1090935,0.15,0.15,0.15,0.15,,,pm_bars_history_v1.0
2026-01-07T10:00:00Z,1090935,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-01-07T11:00:00Z,1090935,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-01-07T12:00:00Z,1090935,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-07T13:00:00Z,1090935,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-01-07T14:00:00Z,1090935,0.14,0.14,0.14,0.14,,,pm_bars_history_v1.0
2026-01-07T15:00:00Z,1090935,0.455,0.455,0.455,0.455,,,pm_bars_history_v1.0
2026-01-07T16:00:00Z,1090935,0.45,0.45,0.45,0.45,,,pm_bars_history_v1.0
2026-01-07T17:00:00Z,1090935,0.4,0.4,0.4,0.4,,,pm_bars_history_v1.0
2026-01-07T18:00:00Z,1090935,0.45,0.45,0.45,0.45,,,pm_bars_history_v1.0
2026-01-07T19:00:00Z,1090935,0.53,0.53,0.53,0.53,,,pm_bars_history_v1.0
2026-01-07T20:00:00Z,1090935,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-07T21:00:00Z,1090935,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-07T22:00:00Z,1090935,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-07T23:00:00Z,1090935,0.22,0.22,0.22,0.22,,,pm_bars_history_v1.0
2026-01-07T00:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T01:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T02:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T03:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T04:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T05:00:00Z,1090935,0.16,0.16,0.16,0.16,,,pm_bars_history_v1.0
2026-01-07T06:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T07:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T08:00:00Z,1090935,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-01-07T09:00:00Z,1090935,0.15,0.15,0.15,0.15,,,pm_bars_history_v1.0
2026-01-07T10:00:00Z,1090935,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-01-07T11:00:00Z,1090935,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-01-07T12:00:00Z,1090935,0.095,0.095,0.095,0.095,,,pm_bars_history_v1.0
2026-01-07T13:00:00Z,1090935,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-01-07T14:00:00Z,1090935,0.14,0.14,0.14,0.14,,,pm_bars_history_v1.0
2026-01-07T15:00:00Z,1090935,0.455,0.455,0.455,0.455,,,pm_bars_history_v1.0
2026-01-07T16:00:00Z,1090935,0.45,0.45,0.45,0.45,,,pm_bars_history_v1.0
2026-01-07T17:00:00Z,1090935,0.4,0.4,0.4,0.4,,,pm_bars_history_v1.0
2026-01-07T18:00:00Z,1090935,0.45,0.45,0.45,0.45,,,pm_bars_history_v1.0
2026-01-07T19:00:00Z,1090935,0.53,0.53,0.53,0.53,,,pm_bars_history_v1.0
