ticker,week_monday,week_friday,asof_target,drop_reason,detail
PLTR,2025-01-20,2025-01-22,2025-01-21,empty_option_chain,asof=2025-01-21 exp_req=2025-01-22 exp_used=2025-01-22 conv=FRI
NVDA,2025-01-20,2025-01-22,2025-01-21,empty_option_chain,asof=2025-01-21 exp_req=2025-01-22 exp_used=2025-01-22 conv=FRI
AAPL,2025-01-20,2025-01-23,2025-01-22,too_few_in_prn_band,kept=5 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-01-20,2025-01-23,2025-01-22,too_few_in_prn_band,kept=6 need=7 inside=10 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-01-20,2025-01-23,2025-01-22,too_few_in_prn_band,kept=5 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
IWM,2025-01-20,2025-01-23,2025-01-22,too_few_in_prn_band,kept=6 need=7 inside=27 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
TSLA,2025-01-20,2025-01-22,2025-01-21,empty_option_chain,asof=2025-01-21 exp_req=2025-01-22 exp_used=2025-01-22 conv=FRI
NFLX,2025-01-20,2025-01-22,2025-01-21,empty_option_chain,asof=2025-01-21 exp_req=2025-01-22 exp_used=2025-01-22 conv=FRI
AAPL,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=4 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=3 need=7 inside=10 used_abslogm=0.0800 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=4 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
PLTR,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=6 need=7 inside=10 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
IWM,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=6 need=7 inside=33 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
GOOGL,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
MSFT,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
META,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
AMZN,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
PLTR,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
NVDA,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
TSLA,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
NFLX,2025-01-27,2025-01-28,2025-01-27,empty_option_chain,asof=2025-01-27 exp_req=2025-01-28 exp_used=2025-01-28 conv=FRI
AAPL,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
GOOGL,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
MSFT,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
META,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
AMZN,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
PLTR,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
NVDA,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
TSLA,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
NFLX,2025-01-27,2025-01-29,2025-01-28,empty_option_chain,asof=2025-01-28 exp_req=2025-01-29 exp_used=2025-01-29 conv=FRI
GOOGL,2025-01-27,2025-01-31,2025-01-30,too_few_in_prn_band,kept=4 need=7 inside=10 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-01-27,2025-01-31,2025-01-30,too_few_in_prn_band,kept=4 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
GOOGL,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
MSFT,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
META,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
AMZN,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
PLTR,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
NVDA,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
TSLA,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
NFLX,2025-02-03,2025-02-04,2025-02-03,empty_option_chain,asof=2025-02-03 exp_req=2025-02-04 exp_used=2025-02-04 conv=FRI
AAPL,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
GOOGL,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
MSFT,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
META,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
AMZN,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
PLTR,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
SPY,2025-02-03,2025-02-05,2025-02-04,too_few_in_prn_band,kept=6 need=7 inside=34 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-02-03,2025-02-06,2025-02-05,too_few_in_prn_band,kept=5 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-02-03,2025-02-06,2025-02-05,too_few_in_prn_band,kept=6 need=7 inside=11 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
