model,split,logloss,brier,ece,n,weight_sum,baseline_logloss,delta_model_minus_baseline
baseline_pRN,val_pool,0.5263865896885949,0.17497351466339575,0.035331136555469725,11730,1.6325889100279605,,
baseline_pRN,test,0.49542462670217724,0.16221308919552785,0.033168397362245645,5816,0.8243504722143657,,
logit+platt_C=0.001,val_pool,0.5175331114137436,0.1712424682706324,0.01912734634589558,11730,1.6325889100279605,,
logit+platt_C=0.001,test,0.5002284164121205,0.1642453438083427,0.03792959580155718,5816,0.8243504722143657,,
rolling_selection,avg_over_windows,0.5334213928061081,,,4,,0.5274822751918892,0.005939117614218947
