model,split,logloss,brier,ece,ece_q,n,weight_sum,delta_logloss_ci_lo,delta_logloss_ci_hi,delta_brier_ci_lo,delta_brier_ci_hi,delta_ece_ci_lo,delta_ece_ci_hi,delta_ece_q_ci_lo,delta_ece_q_ci_hi,bootstrap_n_groups,bootstrap_B,baseline_logloss,delta_model_minus_baseline
baseline_pRN,val_pool,0.4953221839837126,0.1613117378597848,0.05688069007461665,0.05618314671724313,3187,0.7431898622148785,,,,,,,,,,,,
baseline_pRN,test,0.4304988329489706,0.13356549269940535,0.10514134330592273,0.10284074192155403,1240,0.3512551172395538,,,,,,,,,,,,
logit_C=0.5,val_pool,0.48746334490821264,0.15872506516873508,0.05336871298913814,0.053368712989138194,3187,0.7431898622148785,-0.023677920708391052,0.009385532286412214,-0.006914694091343919,0.0019226286094890105,-0.037987316723921895,0.020185093419496297,-0.040202051093715434,0.01512980864622886,224.0,2000.0,,
logit_C=0.5,test,0.4010029257115887,0.12524323426109987,0.0572847492452392,0.05138404520003169,1240,0.3512551172395538,-0.04690004915465663,-0.009382553605858424,-0.01428826776185874,-0.0017606631728739857,-0.058189424568507134,-0.015405374306310112,-0.057481027091311136,-0.01919016402367478,103.0,2000.0,,
rolling_selection,avg_over_windows,0.4852608983976364,,,,4,,,,,,,,,,,,0.4911739794002227,-0.005913081002586307
