label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=2,1,0.0,0.06666666666666667,16,0.009388114929093123,0.05397917697922012,0.0
val_pool__logit_C=2,2,0.06666666666666667,0.13333333333333333,262,0.07225032454791591,0.10385759636617482,0.05177165497592244
val_pool__logit_C=2,3,0.13333333333333333,0.2,235,0.05655746815165183,0.16655486176774523,0.1121934312841066
val_pool__logit_C=2,4,0.2,0.26666666666666666,195,0.047053241078921525,0.22839637328194515,0.18519269701086066
val_pool__logit_C=2,5,0.26666666666666666,0.3333333333333333,163,0.03999504935051308,0.29953107410202745,0.203305550541954
val_pool__logit_C=2,6,0.3333333333333333,0.4,152,0.04015287349642055,0.3642420779030114,0.33603719730562653
val_pool__logit_C=2,7,0.4,0.4666666666666667,143,0.03140340166084816,0.43279455894909225,0.3888304571539675
val_pool__logit_C=2,8,0.4666666666666667,0.5333333333333333,169,0.03843760993384558,0.5026706528386681,0.43046604512656084
val_pool__logit_C=2,9,0.5333333333333333,0.6,147,0.03470967437506936,0.5659707191243841,0.49974542097419794
val_pool__logit_C=2,10,0.6,0.6666666666666666,190,0.03702298240221576,0.6304720192290008,0.5599689290430944
val_pool__logit_C=2,11,0.6666666666666666,0.7333333333333333,223,0.04673839128579205,0.7004966536882938,0.6173810515425157
val_pool__logit_C=2,12,0.7333333333333333,0.8,257,0.05033896302903541,0.7673101005956738,0.7014221555040494
val_pool__logit_C=2,13,0.8,0.8666666666666667,300,0.06687861164065756,0.8347715481531536,0.78653192451057
val_pool__logit_C=2,14,0.8666666666666667,0.9333333333333333,465,0.098422280867168,0.9040044755082979,0.8452548695369814
val_pool__logit_C=2,15,0.9333333333333333,1.0,270,0.07384087546573068,0.9554571585438463,0.9257733691488407
test__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
test__baseline_pRN,2,0.06666666666666667,0.13333333333333333,56,0.018944345000894994,0.11660525346645775,0.05541327027634437
test__baseline_pRN,3,0.13333333333333333,0.2,90,0.024787095726511877,0.16655502291013433,0.07707575210661001
test__baseline_pRN,4,0.2,0.26666666666666666,82,0.024277647832237494,0.23493428433124386,0.16887888758322833
test__baseline_pRN,5,0.26666666666666666,0.3333333333333333,73,0.021491498201580986,0.3014757583507971,0.12319769680350925
test__baseline_pRN,6,0.3333333333333333,0.4,76,0.022815317543732165,0.3631342048586588,0.25641238427270197
test__baseline_pRN,7,0.4,0.4666666666666667,76,0.022910249600448303,0.4324086903104771,0.2512618527683547
test__baseline_pRN,8,0.4666666666666667,0.5333333333333333,68,0.017345649495631665,0.4950090956076782,0.5890131528587021
test__baseline_pRN,9,0.5333333333333333,0.6,88,0.026543571581174014,0.5624482331783318,0.653802320661199
test__baseline_pRN,10,0.6,0.6666666666666666,98,0.025262554062009727,0.6369359836644499,0.7061888043680085
test__baseline_pRN,11,0.6666666666666666,0.7333333333333333,103,0.024893986418614514,0.6987986511281531,0.7967850507815836
test__baseline_pRN,12,0.7333333333333333,0.8,106,0.029553377412264204,0.7685305716599742,0.8803551212931435
test__baseline_pRN,13,0.8,0.8666666666666667,194,0.05212098407658179,0.8337007091979739,0.9491464191714407
test__baseline_pRN,14,0.8666666666666667,0.9333333333333333,130,0.04030884028787212,0.8864791494229118,0.9849186037599919
test__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
test__logit_C=2,1,0.0,0.06666666666666667,5,0.0044032009437958,0.0496337054062373,0.0
test__logit_C=2,2,0.06666666666666667,0.13333333333333333,98,0.03618446080855247,0.09960406844206171,0.05946290861887745
test__logit_C=2,3,0.13333333333333333,0.2,95,0.024776424819785557,0.1688416452126008,0.11665301516666349
test__logit_C=2,4,0.2,0.26666666666666666,77,0.024580023317345812,0.23464349970085632,0.15773128067495298
test__logit_C=2,5,0.26666666666666666,0.3333333333333333,62,0.016424005586485362,0.30009127468791913,0.13336000776026474
