model,split,logloss,brier,ece,n,weight_sum
baseline_pRN,test,0.49542462670217724,0.16221308919552785,0.033168397362245645,5816,0.8243504722143657
logit_base_C=0.02,test,0.5008616113131998,0.16459016145905062,0.04737149666706167,5816,0.8243504722143657
baseline_pRN,val,0.4932723424129367,0.16129134563814898,0.07439327750193521,5965,0.8493711654062074
logit_base_C=0.02,val,0.4724097690932478,0.1537592925201752,0.03827602697638161,5965,0.8493711654062074
