ticker,week_monday,week_friday,asof_target,drop_reason,detail
AMZN,2024-11-11,2024-11-15,2024-11-14,too_few_in_prn_band,kept=4 need=6 inside=10 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2024-11-18,2024-11-22,2024-11-21,too_few_in_prn_band,kept=4 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
GOOGL,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
MSFT,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
META,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
AMZN,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
PLTR,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
NVDA,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
TSLA,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
NFLX,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
QQQ,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
IWM,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
SPY,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
AMD,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
INTC,2024-11-25,2024-11-29,2024-11-28,bad_T_days,0
AAPL,2024-12-02,2024-12-06,2024-12-05,too_few_in_prn_band,kept=4 need=6 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2024-12-02,2024-12-06,2024-12-05,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
INTC,2024-12-02,2024-12-06,2024-12-05,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.800680 spot=20.799999 splits_preload=0
INTC,2024-12-09,2024-12-13,2024-12-12,thin_band_inside,inside=8 raw=8 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.780680 spot=20.780001 splits_preload=0
