ticker,event_endDate,K,S,pRN_raw,pRN,rn_method,rn_quote_source,rn_monotone_adjusted,n_calls_used,calls_k_min,calls_k_max,deltaK,spot_source,spot_asof_utc,rn_asof_utc,rv20,rv20_source,rv20_window,is_missing_rv20,dividend_yield,forward_price,rel_spread_median,n_chain_raw,n_chain_used,n_band_raw,n_band_inside,dropped_intrinsic,asof_fallback_days,expiry_fallback_days,split_events_in_preload_range,spot_scale_used
MSFT,2026-02-06 00:00:00+00:00,400.0,392.75,0.3166896,0.3166896,call_slope,bidask_mid,False,101,270.0,655.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.4778355745728781,realized_20d,20,False,0.0,,0.9999999999999998,101,101,17.0,17.0,0,0,0,0,raw
MSFT,2026-02-06 00:00:00+00:00,410.0,392.75,0.0653381,0.0653381,call_slope,bidask_mid,False,101,270.0,655.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.4778355745728781,realized_20d,20,False,0.0,,0.9999999999999998,101,101,17.0,17.0,0,0,0,0,raw
MSFT,2026-02-06 00:00:00+00:00,420.0,392.75,0.0086673,0.0086673,call_slope,bidask_mid,False,101,270.0,655.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.4778355745728781,realized_20d,20,False,0.0,,0.9999999999999998,101,101,17.0,17.0,0,0,0,0,raw
MSFT,2026-02-06 00:00:00+00:00,430.0,392.75,0.0026669,0.0026669,call_slope,bidask_mid,False,101,270.0,655.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.4778355745728781,realized_20d,20,False,0.0,,0.9999999999999998,101,101,17.0,17.0,0,0,0,0,raw
NVDA,2026-02-06 00:00:00+00:00,165.0,170.183,0.893398,0.893398,call_slope,bidask_mid,False,71,50.0,360.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.31575635892899695,realized_20d,20,False,0.0,,0.2655601659751038,71,71,10.0,10.0,0,0,0,0,raw
NVDA,2026-02-06 00:00:00+00:00,170.0,170.183,0.6647148,0.6647148,call_slope,bidask_mid,False,71,50.0,360.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.31575635892899695,realized_20d,20,False,0.0,,0.2655601659751038,71,71,10.0,10.0,0,0,0,0,raw
NVDA,2026-02-06 00:00:00+00:00,175.0,170.183,0.4113631,0.4113631,call_slope,bidask_mid,False,71,50.0,360.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.31575635892899695,realized_20d,20,False,0.0,,0.2655601659751038,71,71,10.0,10.0,0,0,0,0,raw
NVDA,2026-02-06 00:00:00+00:00,180.0,170.183,0.1260091,0.1260091,call_slope,bidask_mid,False,71,50.0,360.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.31575635892899695,realized_20d,20,False,0.0,,0.2655601659751038,71,71,10.0,10.0,0,0,0,0,raw
NVDA,2026-02-06 00:00:00+00:00,185.0,170.183,0.0200014,0.0200014,call_slope,bidask_mid,False,71,50.0,360.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.31575635892899695,realized_20d,20,False,0.0,,0.2655601659751038,71,71,10.0,10.0,0,0,0,0,raw
TSLA,2026-02-06 00:00:00+00:00,390.0,390.3788,0.6400463,0.6400463,call_slope,bidask_mid,False,159,140.0,980.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.3827920232281669,realized_20d,20,False,0.0,,2.0,159,159,18.0,18.0,0,0,0,0,raw
TSLA,2026-02-06 00:00:00+00:00,400.0,390.3788,0.4727009,0.4727009,call_slope,bidask_mid,False,159,140.0,980.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.3827920232281669,realized_20d,20,False,0.0,,2.0,159,159,18.0,18.0,0,0,0,0,raw
TSLA,2026-02-06 00:00:00+00:00,410.0,390.3788,0.1780129,0.1780129,call_slope,bidask_mid,False,159,140.0,980.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.3827920232281669,realized_20d,20,False,0.0,,2.0,159,159,18.0,18.0,0,0,0,0,raw
TSLA,2026-02-06 00:00:00+00:00,420.0,390.3788,0.042003,0.042003,call_slope,bidask_mid,False,159,140.0,980.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.3827920232281669,realized_20d,20,False,0.0,,2.0,159,159,18.0,18.0,0,0,0,0,raw
TSLA,2026-02-06 00:00:00+00:00,430.0,390.3788,0.009334,0.009334,call_slope,bidask_mid,False,159,140.0,980.0,7.5,intraday_prepost_1m,2026-02-05T23:50:22.144640+00:00,2026-02-05T23:50:22.144640+00:00,0.3827920232281669,realized_20d,20,False,0.0,,2.0,159,159,18.0,18.0,0,0,0,0,raw
