snapshot_time_utc,snapshot_time_local,snapshot_session,week_monday,week_friday,week_sunday,ticker,slug,event_id,event_title,event_updatedAt,event_endDate,expiry_ts_utc,market_id,condition_id,market_question,K,yes_token_id,no_token_id,pm_ok_meta,pm_reason_meta,schema_version,pPM_buy,qPM_buy,pPM_mid,qPM_mid,yes_spread,no_spread,pm_ok,pm_reason,T_days
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,NVDA,nvda-close-above-on-february-6-2026,199256,NVIDIA (NVDA) closes above ___ on February 6?,2026-02-05T23:47:39.700557Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339456,0x7550b2759f9528cfa7b97e62d3c253bd1dedf35c6b5d82e517bee832fc8c8ee2,Will NVIDIA (NVDA) close above $165 on February 6?,165.0,54007800195705823340198961441374619611756556147834087265452811179297836600983,70028789388556135389517729533126597442998676989959990240178439421218436859516,True,ok,pPM_polymarket_snapshot_v1.0.1,0.97,0.64,0.665,0.335,0.61,0.61,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,NVDA,nvda-close-above-on-february-6-2026,199256,NVIDIA (NVDA) closes above ___ on February 6?,2026-02-05T23:47:39.700557Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339457,0xa9f2c991cc1190c55d75ac34ce9be27e676d3ed93026c0ba490a321f9390f1d8,Will NVIDIA (NVDA) close above $170 on February 6?,170.0,44253820719480912582883037451278538157949889689394613160890259014514951874517,104221388378766492183457732510208638161027300792854043145783757365406368958540,True,ok,pPM_polymarket_snapshot_v1.0.1,0.89,0.84,0.525,0.475,0.73,0.73,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,NVDA,nvda-close-above-on-february-6-2026,199256,NVIDIA (NVDA) closes above ___ on February 6?,2026-02-05T23:47:39.700557Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339458,0xd931e5bb610d7d3e91eebba0dbf21239e0d7dbccecb3d876243bb19890000339,Will NVIDIA (NVDA) close above $175 on February 6?,175.0,96734142872296131586100253958678680358916926322573349603220623436873499719151,87207614793440345549428041315497623947036268491256541874367874722855408212521,True,ok,pPM_polymarket_snapshot_v1.0.1,0.72,0.95,0.385,0.615,0.6699999999999999,0.6699999999999999,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,NVDA,nvda-close-above-on-february-6-2026,199256,NVIDIA (NVDA) closes above ___ on February 6?,2026-02-05T23:47:39.700557Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339459,0x728074dfe47078a0f6ffb61910c4239773c195bbbdf7393c97fe404f7eb352fd,Will NVIDIA (NVDA) close above $180 on February 6?,180.0,95207885350978560622774763566214997721470228295507913525493460868314558861591,29917685164151936795682159308164927632458256042278086823702983339575566294983,True,ok,pPM_polymarket_snapshot_v1.0.1,0.42,0.95,0.235,0.7649999999999999,0.37,0.37,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,NVDA,nvda-close-above-on-february-6-2026,199256,NVIDIA (NVDA) closes above ___ on February 6?,2026-02-05T23:47:39.700557Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339460,0x38cad3a51d1eae2f5105d7242e92fe8ae2daedc418fd9307e1bdeb2ba7a34092,Will NVIDIA (NVDA) close above $185 on February 6?,185.0,79300906109403554149999644126533257616039032763076686040248708971167247667603,18167264480524092012734897290904311573270563420213282583628875257790929530040,True,ok,pPM_polymarket_snapshot_v1.0.1,0.25,0.98,0.135,0.865,0.23,0.22999999999999998,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,MSFT,msft-close-above-on-february-6-2026,199233,Microsoft (MSFT) closes above ___ on February 6?,2026-02-05T23:49:47.440083Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339407,0x0e126d5be4474b47fc5cc562521e88af6550c9b31663f8d1e3b34d0c776ef6a6,Will Microsoft (MSFT) close above $390 on February 6?,390.0,98981640955003502789598454065792186562737624568361784733590667421215863712757,54136558546062041633880152488599200690012071163886418600816631559608949283762,True,ok,pPM_polymarket_snapshot_v1.0.1,0.93,0.79,0.5700000000000001,0.43000000000000005,0.7200000000000001,0.72,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,MSFT,msft-close-above-on-february-6-2026,199233,Microsoft (MSFT) closes above ___ on February 6?,2026-02-05T23:49:47.440083Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339408,0x362fcfec480d22bad2b70b06ca753faaaaa7dfc2e9049f6957f67ffb22a4a838,Will Microsoft (MSFT) close above $400 on February 6?,400.0,111411294682062862547807106570670613980125417242887779631369140473733206517228,73129830504591051786017657716416802577123978986425064509921825730497314311301,True,ok,pPM_polymarket_snapshot_v1.0.1,0.7,0.95,0.375,0.625,0.6499999999999999,0.6499999999999999,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,MSFT,msft-close-above-on-february-6-2026,199233,Microsoft (MSFT) closes above ___ on February 6?,2026-02-05T23:49:47.440083Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339409,0x4507368e6ec09d2cb1d79e9f169b472a60e4c254e812697a6d64517516894f8c,Will Microsoft (MSFT) close above $410 on February 6?,410.0,4263263702740115058941962140995400226477919129276286220849431785355679628807,67080232590598485898251912592828199348400879494909414902453577343976086256343,True,ok,pPM_polymarket_snapshot_v1.0.1,0.36,0.99,0.185,0.815,0.35,0.35,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,MSFT,msft-close-above-on-february-6-2026,199233,Microsoft (MSFT) closes above ___ on February 6?,2026-02-05T23:49:47.440083Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339410,0x1b5e9ecaa6277a0f332a4ae996b108ace5fff50556ef6f11813e96f1cf96ded0,Will Microsoft (MSFT) close above $420 on February 6?,420.0,95750769566274589425464317210348581072431561937158692261657669074632404350918,50706067027712865010370651824516470049750885414154344403703276757711767406908,True,ok,pPM_polymarket_snapshot_v1.0.1,0.177,0.99,0.0935,0.9065,0.16699999999999998,0.16700000000000004,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,MSFT,msft-close-above-on-february-6-2026,199233,Microsoft (MSFT) closes above ___ on February 6?,2026-02-05T23:49:47.440083Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339411,0x27291be2fe31668b6f3432796632a5e110ca429f3fc1b19832cfc4f329dd9d39,Will Microsoft (MSFT) close above $430 on February 6?,430.0,84647626568461902747499322529680361636553319420441497626681965240105167134820,38534740009620601201550617288041208442350420893963427834524254537269636479503,True,ok,pPM_polymarket_snapshot_v1.0.1,0.95,0.992,0.479,0.521,0.942,0.942,True,ok,0.8816881407407408
