label,bin,bin_lo,bin_hi,n,weight_sum,avg_pred,emp_rate
val_pool__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
val_pool__baseline_pRN,2,0.06666666666666667,0.13333333333333333,150,0.038149972933592985,0.11499148115793223,0.04198439659825134
val_pool__baseline_pRN,3,0.13333333333333333,0.2,248,0.06168518137820079,0.1654841930819874,0.07733798319406951
val_pool__baseline_pRN,4,0.2,0.26666666666666666,220,0.05703216315748669,0.236075420136892,0.12077631562602767
val_pool__baseline_pRN,5,0.26666666666666666,0.3333333333333333,182,0.04348818896158012,0.30163400938661356,0.20804165218583828
val_pool__baseline_pRN,6,0.3333333333333333,0.4,183,0.046882019986924706,0.36627023913132034,0.28679420727353316
val_pool__baseline_pRN,7,0.4,0.4666666666666667,180,0.0451602237033424,0.42991905386842766,0.3049113477223871
val_pool__baseline_pRN,8,0.4666666666666667,0.5333333333333333,197,0.04762942516888964,0.5005235298825543,0.42581746141751103
val_pool__baseline_pRN,9,0.5333333333333333,0.6,205,0.04917941250796892,0.5628747625938819,0.4960355128646923
val_pool__baseline_pRN,10,0.6,0.6666666666666666,276,0.05827431217339733,0.6341048359059155,0.6559654102641503
val_pool__baseline_pRN,11,0.6666666666666666,0.7333333333333333,303,0.06549777492085085,0.7031363641104261,0.7176517509359
val_pool__baseline_pRN,12,0.7333333333333333,0.8,294,0.06358396515943245,0.7647061873314858,0.7635738617314581
val_pool__baseline_pRN,13,0.8,0.8666666666666667,423,0.0944396274123967,0.8342367217002873,0.8578161691810295
val_pool__baseline_pRN,14,0.8666666666666667,0.9333333333333333,326,0.07218759475081496,0.8854603868878034,0.9223716740459491
val_pool__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
val_pool__logit_C=0.2,1,0.0,0.06666666666666667,4,0.0034694904363714997,0.06459522838619763,0.0
val_pool__logit_C=0.2,2,0.06666666666666667,0.13333333333333333,242,0.06712590694576022,0.10633229266678162,0.059757998338262786
val_pool__logit_C=0.2,3,0.13333333333333333,0.2,239,0.05676204806842074,0.16658356760749748,0.08660539953731745
val_pool__logit_C=0.2,4,0.2,0.26666666666666666,205,0.05450400621875304,0.22908442276746502,0.17849377784899226
val_pool__logit_C=0.2,5,0.26666666666666666,0.3333333333333333,160,0.03652274472934623,0.30290175160625143,0.23639100554853618
val_pool__logit_C=0.2,6,0.3333333333333333,0.4,167,0.04238876895977202,0.36521198517268777,0.2596898152264308
val_pool__logit_C=0.2,7,0.4,0.4666666666666667,145,0.030713223322076225,0.4303742135748246,0.32278786850453633
val_pool__logit_C=0.2,8,0.4666666666666667,0.5333333333333333,160,0.03921389263476275,0.49940835023034297,0.451995857927366
val_pool__logit_C=0.2,9,0.5333333333333333,0.6,161,0.037917326972967166,0.5659558396979844,0.4909707834772833
val_pool__logit_C=0.2,10,0.6,0.6666666666666666,205,0.0416023794665632,0.6322298287425867,0.5551330311038113
val_pool__logit_C=0.2,11,0.6666666666666666,0.7333333333333333,211,0.04120582416760775,0.7021891585471982,0.6353697027081205
val_pool__logit_C=0.2,12,0.7333333333333333,0.8,259,0.05554962379463543,0.7695018674900493,0.7153852047901591
val_pool__logit_C=0.2,13,0.8,0.8666666666666667,310,0.06575790792444716,0.8337057280868044,0.7729136128247733
val_pool__logit_C=0.2,14,0.8666666666666667,0.9333333333333333,462,0.10062700576027446,0.903480820103609,0.8483724046695361
val_pool__logit_C=0.2,15,0.9333333333333333,1.0,257,0.06982971281312067,0.9551478748726527,0.9425061390623815
test__baseline_pRN,1,0.0,0.06666666666666667,0,0.0,,
test__baseline_pRN,2,0.06666666666666667,0.13333333333333333,56,0.018944345000894994,0.11660525346645775,0.05541327027634437
test__baseline_pRN,3,0.13333333333333333,0.2,90,0.024787095726511877,0.16655502291013433,0.07707575210661001
test__baseline_pRN,4,0.2,0.26666666666666666,82,0.024277647832237494,0.23493428433124386,0.16887888758322833
test__baseline_pRN,5,0.26666666666666666,0.3333333333333333,73,0.021491498201580986,0.3014757583507971,0.12319769680350925
test__baseline_pRN,6,0.3333333333333333,0.4,76,0.022815317543732165,0.3631342048586588,0.25641238427270197
test__baseline_pRN,7,0.4,0.4666666666666667,76,0.022910249600448303,0.4324086903104771,0.2512618527683547
test__baseline_pRN,8,0.4666666666666667,0.5333333333333333,68,0.017345649495631665,0.4950090956076782,0.5890131528587021
test__baseline_pRN,9,0.5333333333333333,0.6,88,0.026543571581174014,0.5624482331783318,0.653802320661199
test__baseline_pRN,10,0.6,0.6666666666666666,98,0.025262554062009727,0.6369359836644499,0.7061888043680085
test__baseline_pRN,11,0.6666666666666666,0.7333333333333333,103,0.024893986418614514,0.6987986511281531,0.7967850507815836
test__baseline_pRN,12,0.7333333333333333,0.8,106,0.029553377412264204,0.7685305716599742,0.8803551212931435
test__baseline_pRN,13,0.8,0.8666666666666667,194,0.05212098407658179,0.8337007091979739,0.9491464191714407
test__baseline_pRN,14,0.8666666666666667,0.9333333333333333,130,0.04030884028787212,0.8864791494229118,0.9849186037599919
test__baseline_pRN,15,0.9333333333333333,1.0,0,0.0,,
test__logit_C=0.2,1,0.0,0.06666666666666667,0,0.0,,
test__logit_C=0.2,2,0.06666666666666667,0.13333333333333333,88,0.03254623080005027,0.10377896546157624,0.05157196910930513
test__logit_C=0.2,3,0.13333333333333333,0.2,98,0.027262182975432335,0.16722450370779396,0.09989903451282467
test__logit_C=0.2,4,0.2,0.26666666666666666,77,0.022229729407515532,0.23892500174908862,0.1693678869458959
