timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-02-09T00:00:00Z,1349250,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-02-09T01:00:00Z,1349250,0.45,0.45,0.45,0.45,,,pm_bars_history_v1.0
2026-02-09T02:00:00Z,1349250,0.145,0.145,0.145,0.145,,,pm_bars_history_v1.0
2026-02-09T03:00:00Z,1349250,0.14,0.14,0.14,0.14,,,pm_bars_history_v1.0
2026-02-09T04:00:00Z,1349250,0.14,0.14,0.14,0.14,,,pm_bars_history_v1.0
2026-02-09T05:00:00Z,1349250,0.14,0.14,0.14,0.14,,,pm_bars_history_v1.0
2026-02-09T06:00:00Z,1349250,0.17,0.17,0.17,0.17,,,pm_bars_history_v1.0
2026-02-09T07:00:00Z,1349250,0.17,0.17,0.17,0.17,,,pm_bars_history_v1.0
2026-02-09T08:00:00Z,1349250,0.17,0.17,0.17,0.17,,,pm_bars_history_v1.0
2026-02-09T09:00:00Z,1349250,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-02-09T10:00:00Z,1349250,0.125,0.125,0.125,0.125,,,pm_bars_history_v1.0
2026-02-09T11:00:00Z,1349250,0.125,0.125,0.125,0.125,,,pm_bars_history_v1.0
2026-02-09T12:00:00Z,1349250,0.125,0.125,0.125,0.125,,,pm_bars_history_v1.0
2026-02-09T13:00:00Z,1349250,0.125,0.125,0.125,0.125,,,pm_bars_history_v1.0
2026-02-09T14:00:00Z,1349250,0.12,0.12,0.12,0.12,,,pm_bars_history_v1.0
2026-02-09T15:00:00Z,1349250,0.07,0.07,0.07,0.07,,,pm_bars_history_v1.0
2026-02-09T16:00:00Z,1349250,0.08,0.08,0.08,0.08,,,pm_bars_history_v1.0
2026-02-09T17:00:00Z,1349250,0.085,0.085,0.085,0.085,,,pm_bars_history_v1.0
2026-02-09T18:00:00Z,1349250,0.075,0.075,0.075,0.075,,,pm_bars_history_v1.0
2026-02-09T19:00:00Z,1349250,0.1,0.1,0.1,0.1,,,pm_bars_history_v1.0
2026-02-09T20:00:00Z,1349250,0.125,0.125,0.125,0.125,,,pm_bars_history_v1.0
2026-02-09T21:00:00Z,1349250,0.115,0.115,0.115,0.115,,,pm_bars_history_v1.0
2026-02-09T22:00:00Z,1349250,0.15,0.15,0.15,0.15,,,pm_bars_history_v1.0
2026-02-09T23:00:00Z,1349250,0.15,0.15,0.15,0.15,,,pm_bars_history_v1.0
