timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2025-11-28T00:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T01:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T02:00:00Z,696077,0.855,0.855,0.855,0.855,,,pm_bars_history_v1.0
2025-11-28T03:00:00Z,696077,0.855,0.855,0.855,0.855,,,pm_bars_history_v1.0
2025-11-28T04:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T05:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T06:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T07:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T08:00:00Z,696077,0.85,0.85,0.85,0.85,,,pm_bars_history_v1.0
2025-11-28T09:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T10:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T11:00:00Z,696077,0.835,0.835,0.835,0.835,,,pm_bars_history_v1.0
2025-11-28T12:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T13:00:00Z,696077,0.73,0.73,0.73,0.73,,,pm_bars_history_v1.0
2025-11-28T14:00:00Z,696077,0.73,0.73,0.73,0.73,,,pm_bars_history_v1.0
2025-11-28T15:00:00Z,696077,0.695,0.695,0.695,0.695,,,pm_bars_history_v1.0
2025-11-28T16:00:00Z,696077,0.795,0.795,0.795,0.795,,,pm_bars_history_v1.0
2025-11-28T17:00:00Z,696077,0.97,0.97,0.97,0.97,,,pm_bars_history_v1.0
2025-11-28T18:00:00Z,696077,0.9385,0.9385,0.9385,0.9385,,,pm_bars_history_v1.0
2025-11-28T19:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T20:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T21:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T22:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T23:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T00:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T01:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T02:00:00Z,696077,0.855,0.855,0.855,0.855,,,pm_bars_history_v1.0
2025-11-28T03:00:00Z,696077,0.855,0.855,0.855,0.855,,,pm_bars_history_v1.0
2025-11-28T04:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T05:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T06:00:00Z,696077,0.86,0.86,0.86,0.86,,,pm_bars_history_v1.0
2025-11-28T07:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T08:00:00Z,696077,0.85,0.85,0.85,0.85,,,pm_bars_history_v1.0
2025-11-28T09:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T10:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T11:00:00Z,696077,0.835,0.835,0.835,0.835,,,pm_bars_history_v1.0
2025-11-28T12:00:00Z,696077,0.845,0.845,0.845,0.845,,,pm_bars_history_v1.0
2025-11-28T13:00:00Z,696077,0.73,0.73,0.73,0.73,,,pm_bars_history_v1.0
2025-11-28T14:00:00Z,696077,0.73,0.73,0.73,0.73,,,pm_bars_history_v1.0
2025-11-28T15:00:00Z,696077,0.695,0.695,0.695,0.695,,,pm_bars_history_v1.0
2025-11-28T16:00:00Z,696077,0.795,0.795,0.795,0.795,,,pm_bars_history_v1.0
2025-11-28T17:00:00Z,696077,0.97,0.97,0.97,0.97,,,pm_bars_history_v1.0
2025-11-28T18:00:00Z,696077,0.9385,0.9385,0.9385,0.9385,,,pm_bars_history_v1.0
2025-11-28T19:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T20:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T21:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T22:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
2025-11-28T23:00:00Z,696077,0.9395,0.9395,0.9395,0.9395,,,pm_bars_history_v1.0
