model,split,logloss,brier,ece,n,weight_sum,baseline_logloss,delta_model_minus_baseline
baseline_pRN,val_pool,0.5263865896885949,0.17497351466339575,0.035331136555469725,11730,1.6325889100279605,,
baseline_pRN,test,0.49542462670217724,0.16221308919552785,0.033168397362245645,5816,0.8243504722143657,,
logit_C=10,val_pool,0.5169011818447539,0.17096762489576195,0.01754269058655363,11730,1.6325889100279605,,
logit_C=10,test,0.5037604202973066,0.16583147341755805,0.04776214916119971,5816,0.8243504722143657,,
rolling_selection,avg_over_windows,0.5222665114792082,,,4,,0.5274822751918892,-0.005215763712680954
