C,avg_roll_logloss_model,avg_roll_logloss_baseline,avg_roll_delta,n_windows_used
10.0,0.5222665114792082,0.5274822751918892,-0.005215763712680954,4
5.0,0.5222670212249485,0.5274822751918892,-0.0052152539669406695,4
2.0,0.5222684030588094,0.5274822751918892,-0.005213872133079778,4
1.0,0.5222703557066013,0.5274822751918892,-0.005211919485287875,4
0.5,0.5222734763746373,0.5274822751918892,-0.005208798817251892,4
0.2,0.5222764167397842,0.5274822751918892,-0.005205858452104972,4
0.1,0.5223547234926903,0.5274822751918892,-0.0051275516991988734,4
0.05,0.5223906988432112,0.5274822751918892,-0.005091576348677962,4
0.02,0.5226934061595131,0.5274822751918892,-0.004788869032376075,4
0.01,0.5232481237157344,0.5274822751918892,-0.004234151476154802,4
0.005,0.5242332048627105,0.5274822751918892,-0.0032490703291786494,4
0.002,0.5259971571634515,0.5274822751918892,-0.0014851180284376486,4
0.001,0.5281188776193734,0.5274822751918892,0.0006366024274842008,4
