model,split,logloss,brier,ece,n,weight_sum
baseline_pRN,test,0.49542462670217724,0.16221308919552785,0.033168397362245645,5816,0.8243504722143657
logit_base_C=0.05,test,0.5016427758982307,0.16497942600529752,0.05039279700193832,5816,0.8243504722143657
baseline_pRN,val,0.4932723424129367,0.16129134563814898,0.07439327750193521,5965,0.8493711654062074
logit_base_C=0.05,val,0.4688837740143182,0.15257904534128353,0.03532630579110602,5965,0.8493711654062074
