timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2025-12-30T00:00:00Z,1031801,0.0205,0.0205,0.0205,0.0205,,,pm_bars_history_v1.0
2025-12-30T01:00:00Z,1031801,0.0215,0.0215,0.0215,0.0215,,,pm_bars_history_v1.0
2025-12-30T02:00:00Z,1031801,0.0255,0.0255,0.0255,0.0255,,,pm_bars_history_v1.0
2025-12-30T03:00:00Z,1031801,0.013,0.013,0.013,0.013,,,pm_bars_history_v1.0
2025-12-30T04:00:00Z,1031801,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2025-12-30T05:00:00Z,1031801,0.0165,0.0165,0.0165,0.0165,,,pm_bars_history_v1.0
2025-12-30T06:00:00Z,1031801,0.0235,0.0235,0.0235,0.0235,,,pm_bars_history_v1.0
2025-12-30T07:00:00Z,1031801,0.028,0.028,0.028,0.028,,,pm_bars_history_v1.0
2025-12-30T08:00:00Z,1031801,0.0205,0.0205,0.0205,0.0205,,,pm_bars_history_v1.0
2025-12-30T09:00:00Z,1031801,0.028,0.028,0.028,0.028,,,pm_bars_history_v1.0
2025-12-30T10:00:00Z,1031801,0.021,0.021,0.021,0.021,,,pm_bars_history_v1.0
2025-12-30T11:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T12:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T13:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T14:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T15:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T16:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T17:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T18:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T19:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T20:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T21:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T22:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T23:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T00:00:00Z,1031801,0.0205,0.0205,0.0205,0.0205,,,pm_bars_history_v1.0
2025-12-30T01:00:00Z,1031801,0.0215,0.0215,0.0215,0.0215,,,pm_bars_history_v1.0
2025-12-30T02:00:00Z,1031801,0.0255,0.0255,0.0255,0.0255,,,pm_bars_history_v1.0
2025-12-30T03:00:00Z,1031801,0.013,0.013,0.013,0.013,,,pm_bars_history_v1.0
2025-12-30T04:00:00Z,1031801,0.0195,0.0195,0.0195,0.0195,,,pm_bars_history_v1.0
2025-12-30T05:00:00Z,1031801,0.0165,0.0165,0.0165,0.0165,,,pm_bars_history_v1.0
2025-12-30T06:00:00Z,1031801,0.0235,0.0235,0.0235,0.0235,,,pm_bars_history_v1.0
2025-12-30T07:00:00Z,1031801,0.028,0.028,0.028,0.028,,,pm_bars_history_v1.0
2025-12-30T08:00:00Z,1031801,0.0205,0.0205,0.0205,0.0205,,,pm_bars_history_v1.0
2025-12-30T09:00:00Z,1031801,0.028,0.028,0.028,0.028,,,pm_bars_history_v1.0
2025-12-30T10:00:00Z,1031801,0.021,0.021,0.021,0.021,,,pm_bars_history_v1.0
2025-12-30T11:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T12:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T13:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T14:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T15:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T16:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T17:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T18:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T19:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T20:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T21:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T22:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
2025-12-30T23:00:00Z,1031801,0.011,0.011,0.011,0.011,,,pm_bars_history_v1.0
