Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Datetime,,,,,
2026-02-10 14:30:00+00:00,423.34161376953125,425.4599914550781,417.0,418.0899963378906,10943175
2026-02-10 15:30:00+00:00,421.7349853515625,425.4200134277344,420.71270751953125,423.3399963378906,6615508
2026-02-10 16:30:00+00:00,424.93499755859375,427.25,421.05999755859375,421.7099914550781,6045525
2026-02-10 17:30:00+00:00,423.32000732421875,426.114990234375,423.1499938964844,424.8800048828125,4257452
2026-02-10 18:30:00+00:00,425.0398864746094,425.1000061035156,422.35009765625,423.2900085449219,3627992
2026-02-10 19:30:00+00:00,424.45001220703125,426.3699951171875,423.6600036621094,425.05999755859375,3877717
2026-02-10 20:30:00+00:00,425.2200012207031,427.20001220703125,423.8169860839844,424.4100036621094,4465243
2026-02-11 14:30:00+00:00,421.7200012207031,436.3500061035156,421.54998779296875,427.9549865722656,14480611
2026-02-11 15:30:00+00:00,426.4049987792969,427.06939697265625,420.0299987792969,421.68231201171875,7864759
2026-02-11 16:30:00+00:00,424.7598876953125,426.6700134277344,422.05999755859375,426.4100036621094,5055253
2026-02-11 17:30:00+00:00,424.7449951171875,426.17999267578125,422.1199951171875,424.760009765625,4016085
2026-02-11 18:30:00+00:00,427.55999755859375,427.7300109863281,423.6199951171875,424.7200012207031,3807995
2026-02-11 19:30:00+00:00,425.8599853515625,427.64990234375,425.6400146484375,427.5199890136719,3215486
2026-02-11 20:30:00+00:00,428.1499938964844,429.1000061035156,425.4599914550781,425.82000732421875,3100922
2026-02-12 14:30:00+00:00,429.6700134277344,436.2300109863281,426.1300048828125,430.3500061035156,11620453
2026-02-12 15:30:00+00:00,419.4100036621094,430.489990234375,419.2799987792969,429.7799987792969,7175428
2026-02-12 16:30:00+00:00,418.10980224609375,421.409912109375,417.1199951171875,419.4049987792969,6221291
2026-02-12 17:30:00+00:00,416.7900085449219,420.1000061035156,414.0,418.06500244140625,4974259
2026-02-12 18:30:00+00:00,414.6625061035156,417.8699951171875,414.2500915527344,416.79998779296875,3857610
2026-02-12 19:30:00+00:00,414.80279541015625,416.8500061035156,414.5400085449219,414.6300048828125,3571749
2026-02-12 20:30:00+00:00,416.8399963378906,417.4200134277344,414.54998779296875,414.7099914550781,3513182
2026-02-13 14:30:00+00:00,416.1050109863281,417.70001220703125,410.8800048828125,414.1400146484375,9931507
2026-02-13 15:30:00+00:00,417.92999267578125,418.3699951171875,412.3800048828125,416.1050109863281,6179923
2026-02-13 16:30:00+00:00,420.4200134277344,420.94000244140625,416.4468078613281,417.9150085449219,4750659
2026-02-13 17:30:00+00:00,420.5798034667969,421.3299865722656,418.80999755859375,420.4800109863281,3564757
2026-02-13 18:30:00+00:00,420.5199890136719,424.05999755859375,420.29998779296875,420.70001220703125,4358821
2026-02-13 19:30:00+00:00,417.6099853515625,421.8598937988281,417.2099914550781,420.6300048828125,3900214
2026-02-13 20:30:00+00:00,417.4200134277344,418.5899963378906,416.5199890136719,417.56988525390625,2855438
2026-02-17 14:30:00+00:00,401.32501220703125,413.69000244140625,400.92999267578125,412.4020080566406,12373622
2026-02-17 15:30:00+00:00,408.17498779296875,409.6400146484375,400.510009765625,401.3251037597656,7547922
2026-02-17 16:30:00+00:00,406.6300048828125,408.5899963378906,404.8299865722656,408.18499755859375,5100846
2026-02-17 17:30:00+00:00,409.4200134277344,410.30999755859375,403.4200134277344,406.635009765625,5065104
2026-02-17 18:30:00+00:00,411.3999938964844,413.1698913574219,408.79010009765625,409.43798828125,5014738
2026-02-17 19:30:00+00:00,410.5599060058594,412.83099365234375,409.7113952636719,411.4200134277344,3604573
2026-02-17 20:30:00+00:00,410.5899963378906,411.8800048828125,409.6400146484375,410.4700012207031,2992308
2026-02-18 14:30:00+00:00,413.2699890136719,415.6700134277344,409.5799865722656,410.6700134277344,9006050
2026-02-18 15:30:00+00:00,414.3800048828125,416.32000732421875,411.5899963378906,413.2698974609375,5830830
2026-02-18 16:30:00+00:00,415.2149963378906,416.1499938964844,413.760009765625,414.4100036621094,3667109
2026-02-18 17:30:00+00:00,413.92999267578125,416.8999938964844,413.42999267578125,415.17999267578125,3606640
2026-02-18 18:30:00+00:00,412.6000061035156,414.20989990234375,412.5,413.92999267578125,3525168
2026-02-18 19:30:00+00:00,410.67999267578125,412.8399963378906,409.90008544921875,412.6000061035156,4436796
2026-02-18 20:30:00+00:00,411.20001220703125,412.1210021972656,410.4100036621094,410.6199951171875,2953314
2026-02-19 14:30:00+00:00,408.69000244140625,410.6600036621094,404.1099853515625,407.33349609375,9061292
2026-02-19 15:30:00+00:00,413.8500061035156,414.9800109863281,408.4599914550781,408.69000244140625,6692320
2026-02-19 16:30:00+00:00,413.7449951171875,415.2499084472656,411.94000244140625,413.8599853515625,4738635
2026-02-19 17:30:00+00:00,409.77508544921875,413.80999755859375,408.5799865722656,413.7449951171875,5285290
2026-02-19 18:30:00+00:00,409.7749938964844,411.1700134277344,408.6700134277344,409.7699890136719,12353574
2026-02-19 19:30:00+00:00,409.9700012207031,411.3699951171875,408.5199890136719,409.760009765625,3219928
2026-02-19 20:30:00+00:00,411.72119140625,411.8999938964844,409.760009765625,409.94000244140625,2412396
