Date,Close,High,Low,Open,Volume
2024-07-18,434.495361328125,438.71826397070777,428.6050012530057,438.4124018485707,20794800
2024-07-19,431.2788391113281,435.2551069043024,426.23702212212055,427.3223538949878,20940400
2024-07-22,437.0310974121094,438.6689563053254,433.05485959349295,435.8964446559175,15808800
2024-07-23,438.91558837890625,442.4083722657051,437.1889338456379,437.97824958808866,13107100
2024-07-24,423.1783447265625,435.59054077335657,421.88582291184935,434.5742824737623,26805800
2024-07-25,412.8184509277344,424.066366533815,411.94033937034624,423.0797067418699,29943800
2024-07-26,419.5967712402344,423.19810333197387,411.7034934246348,412.6211098546519,23583800
2024-07-29,421.0373229980469,426.38500194360023,419.0344049240428,425.8225986635412,15125800
2024-07-30,417.27813720703125,423.32633592791996,411.79228152562297,422.01409176409487,32687600
2024-07-31,412.7691345214844,416.1533704185598,406.7110288792971,414.89044707540063,42891400
2024-08-01,411.545654296875,421.7575892383458,407.57929274476925,415.1765852410534,30296400
2024-08-02,403.0406188964844,409.46378330120876,398.9459870855653,406.98725777167675,29437900
2024-08-05,389.8785705566406,395.6900105848848,380.43623009500715,383.97836487999916,40709200
2024-08-06,394.2791442871094,400.2583309236166,393.183966261965,394.66395609733,24946500
2024-08-07,393.1148681640625,404.60944914169323,392.16768315982324,403.18868669056855,20650900
2024-08-08,397.3180236816406,400.4457182788044,394.6047093244423,397.07135874007713,20203000
2024-08-09,400.60357666015625,402.6064947272633,396.89375651412195,398.64013341356633,19276700
2024-08-12,401.3830261230469,403.3070245629386,398.84730349296393,401.6296910455733,16762900
2024-08-13,408.4870300292969,409.41449264240543,404.10625814496586,404.1259805010332,19414300
2024-08-14,411.2989807128906,412.14752377963794,406.9478375879701,409.26646397851016,18267000
2024-08-15,416.162109375,416.2411711538097,412.8310776655769,414.94631960204117,20752100
2024-08-16,413.6316833496094,416.46849580465874,412.4751975268654,415.7370612802868,22775600
2024-08-19,416.65631103515625,416.87376862371895,411.64492262923585,414.11601787893187,15234000
2024-08-20,419.8885192871094,420.93626132598814,416.7650812391523,416.82438511571235,16387600
2024-08-21,419.2361755371094,421.4700252660244,416.8441419181339,419.1768414959673,16067300
2024-08-22,410.7454528808594,421.8555179747642,409.8163186254232,419.45359039351575,19361900
2024-08-23,411.97113037109375,414.41257372157986,407.32545916499066,412.15893602611095,18493800
2024-08-26,408.7093200683594,412.45550946116737,406.58418387561824,411.5560270388973,13152800
2024-08-27,409.05523681640625,409.5692137906275,405.5067475085558,408.0865565785304,13492900
2024-08-28,405.85272216796875,410.2018441208808,402.6007521142328,410.08323636580656,14882700
2024-08-29,408.3435363769531,417.17028122626607,405.85268326493673,410.142500929111,17045200
2024-08-30,412.31707763671875,412.663006834999,407.36499317358016,410.7948745382869,24308300
2024-09-03,404.7060852050781,415.0253810540411,402.32394584007614,413.07815685238506,20313600
2024-09-04,404.17236328125,406.4853049884444,399.6947395600007,401.2169427939581,15135800
2024-09-05,403.6682434082031,408.3237783354607,401.4343636867301,402.9071267784607,14195500
2024-09-06,397.0555725097656,405.9020748639309,396.1659541424797,404.33046200098624,19609500
2024-09-09,401.02911376953125,403.9252302108811,397.5003824546475,402.5315288470681,15295100
2024-09-10,409.41107177734375,411.51641958523567,402.9862241478787,403.48044319629906,19594300
2024-09-11,418.1488952636719,419.08789343392027,404.84449566929334,410.6960629554886,19266900
2024-09-12,422.0630798339844,422.42879711427406,414.89690341994134,418.415740735589,17395700
2024-09-13,425.611572265625,426.83722589839596,420.5408798146308,420.9065970976519,15874600
2024-09-16,426.3529052734375,428.517587221267,423.2689830915265,425.6214706998335,13834700
2024-09-17,430.1188659667969,436.741413807479,427.2721591954558,435.1401487897844,18874200
2024-09-18,425.82904052734375,430.9886889198146,425.43367129700556,429.9705988234429,18898000
2024-09-19,433.617919921875,436.39542861722236,431.8486072464737,436.12856118496126,21706600
2024-09-20,430.2374572753906,434.1615578880838,429.1996092968504,432.1649237095232,55167100
2024-09-23,428.4978332519531,431.41370770372646,425.4139110417271,429.2589197702658,15128900
2024-09-24,424.2080078125,428.33967197864655,421.1734954974966,427.9937125983331,17015800
2024-09-25,427.114013671875,428.11234590086275,423.6149641825675,424.8603757953974,13396400
2024-09-26,426.3232421875,430.2671006249204,424.1684543301705,430.0595370663028,14492000
2024-09-27,423.0713195800781,426.8570548863857,422.52769062045775,426.53085337882084,14896100
2024-09-30,425.3249206542969,425.4435585697777,420.4519278512811,423.2590885562286,16807300
2024-10-01,415.8260498046875,423.52599147760804,413.9677812470877,423.49633953955015,19092900
2024-10-02,412.3072204589844,417.9314360837514,411.89206315330637,417.6941904099043,16582300
2024-10-03,411.7240295410156,414.699207817815,409.50004373541833,412.80142348929195,13686400
2024-10-04,411.24957275390625,414.8969119270876,410.172178794162,413.40436067339476,19169700
2024-10-07,404.8049621582031,412.287415913181,404.2711971193028,411.190264062665,20919800
2024-10-08,409.9151611328125,410.8541894054543,403.45079759655545,406.1492143378804,19229300
2024-10-09,412.63336181640625,415.51961434814075,409.5098937927917,411.0518548194861,14974300
