timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-02-04T00:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T01:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T02:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T03:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T04:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T05:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T06:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T07:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T08:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T09:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T10:00:00Z,1301839,0.52,0.52,0.52,0.52,,,pm_bars_history_v1.0
2026-02-04T11:00:00Z,1301839,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-04T12:00:00Z,1301839,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-04T13:00:00Z,1301839,0.445,0.445,0.445,0.445,,,pm_bars_history_v1.0
2026-02-04T14:00:00Z,1301839,0.425,0.425,0.425,0.425,,,pm_bars_history_v1.0
2026-02-04T15:00:00Z,1301839,0.38,0.38,0.38,0.38,,,pm_bars_history_v1.0
2026-02-04T16:00:00Z,1301839,0.24,0.24,0.24,0.24,,,pm_bars_history_v1.0
2026-02-04T17:00:00Z,1301839,0.145,0.145,0.145,0.145,,,pm_bars_history_v1.0
2026-02-04T18:00:00Z,1301839,0.11,0.11,0.11,0.11,,,pm_bars_history_v1.0
2026-02-04T19:00:00Z,1301839,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-02-04T20:00:00Z,1301839,0.175,0.175,0.175,0.175,,,pm_bars_history_v1.0
2026-02-04T21:00:00Z,1301839,0.21,0.21,0.21,0.21,,,pm_bars_history_v1.0
2026-02-04T22:00:00Z,1301839,0.23,0.23,0.23,0.23,,,pm_bars_history_v1.0
2026-02-04T23:00:00Z,1301839,0.235,0.235,0.235,0.235,,,pm_bars_history_v1.0
2026-02-04T00:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T01:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T02:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T03:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T04:00:00Z,1301839,0.39,0.39,0.39,0.39,,,pm_bars_history_v1.0
2026-02-04T05:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T06:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T07:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T08:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T09:00:00Z,1301839,0.475,0.475,0.475,0.475,,,pm_bars_history_v1.0
2026-02-04T10:00:00Z,1301839,0.52,0.52,0.52,0.52,,,pm_bars_history_v1.0
2026-02-04T11:00:00Z,1301839,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-04T12:00:00Z,1301839,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-04T13:00:00Z,1301839,0.445,0.445,0.445,0.445,,,pm_bars_history_v1.0
2026-02-04T14:00:00Z,1301839,0.425,0.425,0.425,0.425,,,pm_bars_history_v1.0
2026-02-04T15:00:00Z,1301839,0.38,0.38,0.38,0.38,,,pm_bars_history_v1.0
2026-02-04T16:00:00Z,1301839,0.24,0.24,0.24,0.24,,,pm_bars_history_v1.0
2026-02-04T17:00:00Z,1301839,0.145,0.145,0.145,0.145,,,pm_bars_history_v1.0
2026-02-04T18:00:00Z,1301839,0.11,0.11,0.11,0.11,,,pm_bars_history_v1.0
2026-02-04T19:00:00Z,1301839,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-02-04T20:00:00Z,1301839,0.175,0.175,0.175,0.175,,,pm_bars_history_v1.0
2026-02-04T21:00:00Z,1301839,0.21,0.21,0.21,0.21,,,pm_bars_history_v1.0
2026-02-04T22:00:00Z,1301839,0.23,0.23,0.23,0.23,,,pm_bars_history_v1.0
2026-02-04T23:00:00Z,1301839,0.235,0.235,0.235,0.235,,,pm_bars_history_v1.0
